,Type,Size_or_Members,Shape,Data_type
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/dataValue2,Dataset,785,"(785,)",float64
/AwakeEventData/SPSBQMSPSv1/Acquisition/nBunches,Dataset,1,"(1,)",int32
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/dataValue1,Dataset,785,"(785,)",float64
/AwakeEventData/TT41.BTV.412353/Acquisition/cameraZoom,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,Group,21,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/VTUAwake2Frep/NormalModeAcq/b_offline,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412353/Image/nbImages,Dataset,1,"(1,)",int32
/AwakeEventData/SPS.BCTDC.41435/Acquisition/range1Data,Dataset,1120,"(1120,)",int16
/AwakeEventData/TSG41.AWAKE-CTRHET-VDI,Group,1,,
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStd,Dataset,1,"(1,)",float32
/AwakeEventData/VVGF.412400/StartCounterSt/value,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412353/Acquisition/descSet2,Dataset,1,"(1,)",|S19
/AwakeEventData/TT41.BTV.412353/Acquisition/descSet1,Dataset,1,"(1,)",|S21
/AwakeEventData/SPSBQMSPSv1/Acquisition/doubletIntensitySplitOk,Dataset,1,(),bool
/AwakeEventData/TT43.BPM.430039/Acquisition/sigma,Dataset,12,"(12,)",int32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/horProjection,Dataset,1600,"(1600,)",float64
/AwakeEventData/TT41.BTV.412350/Image/screenSelect_max,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-DOWN/FileRead/dataValue,Dataset,3648,"(3648,)",float64
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-UP/FileRead/headerName,Dataset,11,"(11,)",|S32
/AwakeEventData/TSG41.AWAKE-GUI-SUPPORT/NameAcquisition,Group,1,,
/AwakeEventData/TT41.BTV.412353/Acquisition/cycleTime,Dataset,1,"(1,)",|S26
/AwakeEventData/EMETER05/Acq/outOfRange,Dataset,1,(),bool
/AwakeEventData/SR.SCOPE45.CH02/Acquisition/sampleInterval,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE43.CH06/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412353/Acquisition/rightBottomReference,Dataset,2,"(2,)",int16
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH1/FileRead/fileReadDelay,Dataset,1,"(1,)",int64
/AwakeEventData/TSG41.AWAKE-TWO-SCREEN-MEAS/ValueAcquisition,Group,1,,
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/cameraOffset_max,Dataset,1,"(1,)",int16
/AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Acquisition/firstLamp_min,Dataset,1,"(1,)",int16
/AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412353/Image/leftBottomReference,Dataset,2,"(2,)",int16
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
/AwakeEventData/TT43.BPM.430308/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE45.CH01/Acquisition/CTime,Dataset,1,"(1,)",int32
/AwakeEventData/XMPP-STREAK/StreakImage/streakImageMcpGain,Dataset,1,"(1,)",int64
/AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,Dataset,1120,"(1120,)",int16
/AwakeEventData/TT41.BTV.412350/Acquisition/saturationThreshold,Dataset,1,"(1,)",int16
/AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,Dataset,1,"(1,)",int32
/AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/userImageSelection,Dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS09,Group,1,,
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/gain,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412353/Acquisition/observables,Dataset,1,"(1,)",int32
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS01,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04,Group,1,,
/AwakeEventData/TT41.BTV.412353/Acquisition/screenSelectStr,Dataset,4,"(4,)",|S10
/AwakeEventData/SR.SCOPE45.CH03/Acquisition/sampleInterval,Dataset,1,"(1,)",float32
/AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,Dataset,1,"(1,)",float64
/AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,Dataset,1,"(1,)",float64
/AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE30.CH01/Acquisition/sampleInterval,Dataset,1,"(1,)",float32
/AwakeEventData/Plunger.412401/State,Group,1,,
/AwakeEventData/TT41.BTV.412426/Image/imageSet,Dataset,120000,"(1, 120000)",int16
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakOk,Dataset,1,(),bool
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
/AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,Dataset,1,"(1,)",int32
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT41.BTV.412353/Acquisition/firstLamp_min,Dataset,1,"(1,)",int16
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT43.BPM.430103/Acquisition/posOK,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/TT41.BTV.412426/Acquisition/acqMsg,Dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE43.CH08/Acquisition/CTime,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/bqmOutputEnable,Dataset,1,(),bool
/AwakeEventData/SR.SCOPE30.CH02/Acquisition,Group,11,,
/AwakeEventData/TSG41.AWAKE-CTR-PHOTOMIXER/NameAcquisition/nameValue,Dataset,100,"(100,)",|S45
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,Dataset,1,(),bool
/AwakeEventData/SR.SCOPE30.CH01,Group,1,,
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE30.CH02,Group,1,,
/AwakeEventData/RADMON.AWAKE-2/Acquisition,Group,21,,
/AwakeEventData/TT41.BPM.412351_HF/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-DOWN/FileRead/headerName,Dataset,11,"(11,)",|S32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/rightTopReference,Dataset,2,"(2,)",int16
/AwakeEventData/TT41.BTV.412353/Image/videoGain,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Image/firstLamp_max,Dataset,1,"(1,)",int16
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/secondLamp_max,Dataset,1,"(1,)",int16
/AwakeEventData/awake.XAWAVS_DE_TT_AVG/PosSt,Group,1,,
/AwakeEventData/TT41.BPM.412349_HF/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/SR.AWGPH/Status,Group,1,,
/AwakeEventData/TT41.BTV.412426/Image/cameraSwitch,Dataset,1,"(1,)",int32
/AwakeEventData/VVGF.412423/StartCounterSt/value,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,Dataset,1120,"(1120,)",int16
/AwakeEventData/SPSBQMSPSv1/Acquisition/diagnostic,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BPM.412349/Acquisition/horAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/TSG41.AWAKE-CTRHET-VDI/FileRead/fileTime,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,Dataset,1920,"(1920,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01,Group,2,,
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412347/Acquisition/sigma,Dataset,12,"(12,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412426/Image/firstLamp,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BPM.412349_HF/Acquisition/spsExtraction,Dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-CTR,Group,1,,
/AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp,Dataset,940,"(940,)",float32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Image/userImageSelectionNumber,Dataset,1,"(1,)",int16
/AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,Dataset,1,"(1,)",float64
/AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,Dataset,1,"(1,)",float64
/AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/value,Dataset,352,"(1, 352)",int16
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,Dataset,1,(),|S128
/AwakeEventData/TT41.BCTF.412340/Acquisition/totalIntensityAutoCh1,Dataset,1,"(1,)",float32
/AwakeEventData/SPSBQMSPSv1/Acquisition/stabilityOk,Dataset,1,(),bool
/AwakeEventData/TT41.BTV.412350/Image/cycleTime,Dataset,1,"(1,)",|S26
/AwakeEventData/TT41.BTV.412353/Acquisition/acqState,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,Dataset,1280,"(1280,)",float64
/AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/MPP-VACTRANS-OTR,Group,1,,
/AwakeEventData/SR.SCOPE45.CH01/Acquisition,Group,11,,
/AwakeEventData/SR.SCOPE45.CH01/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
/AwakeEventData/XUCL-SPECTRO/CameraSettings/ddgGateWidth_max,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/headerValue,Dataset,100,"(100,)",|S1
/AwakeEventData/SR.SCOPE45.CH03/Acquisition/value,Dataset,352,"(1, 352)",int16
/AwakeEventData/BLMITT41/Acquisition/deviceName,Dataset,1,"(1,)",|S5
/AwakeEventData/RPCAH.TSG4.RCIBH.430029,Group,1,,
/AwakeEventData/SR.SCOPE29.CH01/Acquisition/triggerError,Dataset,1,"(1,)",float32
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS08,Group,1,,
/AwakeEventData/TSG41.AWAKE-DENSITY-DATA/NameAcquisition,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/headerName,Dataset,100,"(100,)",|S1
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition,Group,5,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS03,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS07,Group,1,,
/AwakeEventData/RADMON.AWAKE-1/Acquisition,Group,21,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04,Group,1,,
/AwakeEventData/BLMITT41/Acquisition/measStamp,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH4/FileRead/channelRead,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Image/rightTopReference,Dataset,2,"(2,)",int16
/AwakeEventData/SR.SCOPE43.CH07/Acquisition/firstSampleTime,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RCIBV.430040,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT41.BTV.412353/Image/planeSet1,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Image/planeSet2,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/planeSet1,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/planeSet2,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition,Group,1,,
/AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,Dataset,1,"(1,)",int32
/AwakeEventData/Plunger.412422/StartCounterSt/value,Dataset,1,"(1,)",int32
/AwakeEventData/TSG41.AWAKE-LASER-DATA/NameAcquisition,Group,1,,
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
/AwakeEventData/PMOTOR14/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage,Group,21,,
/AwakeEventData/TT41.BTV.412350/Image/leftTopReference,Dataset,2,"(2,)",int16
/AwakeEventData/XMPP-STREAK/StreakImage/streakImageInfo,Dataset,1,"(1,)",|S2768
/AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE30.CH01/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/SR.SCOPE43.CH08/Acquisition,Group,11,,
/AwakeEventData/XUCL-SPECTRO/CameraSettings/triggerTermination,Dataset,1,(),bool
/AwakeEventData/SR.SCOPE43.CH07/Acquisition/offset,Dataset,1,"(1,)",float32
/AwakeEventData/VTUAwake2Fc,Group,2,,
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,Group,4,,
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,Dataset,1,"(1,)",int64
/AwakeEventData/SPS.BCTDC.41435/Acquisition/range4Data,Dataset,1120,"(1120,)",int16
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/videoGain,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BPM.412345/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/nPixels,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexThr,Dataset,1,"(1,)",float32
/AwakeEventData/TSG41.AWAKE-TWO-SCREEN-MEAS/NameAcquisition/nameValue,Dataset,100,"(100,)",|S19
/AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE43.CH08,Group,1,,
/AwakeEventData/XUCL-SPECTRO/CameraSettings/preampGainIndex_max,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE43.CH03,Group,1,,
/AwakeEventData/SR.SCOPE43.CH02,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/position,Dataset,1,(),|S128
/AwakeEventData/SR.SCOPE43.CH07,Group,1,,
/AwakeEventData/SR.SCOPE43.CH06,Group,1,,
/AwakeEventData/TSG41.AWAKE-CTR-WR4-WR8-MIXERS/ValueAcquisition,Group,1,,
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-DOWN/FileRead/dataAxis,Dataset,3648,"(3648,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
/AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412426/Image/screenSelect,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition,Group,1,,
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE30.CH02/Acquisition/sensitivity,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412350/Image/acqTimeInCycle,Dataset,1,"(1,)",float64
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengths,Dataset,288,"(288,)",float32
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT41.BTV.412353/Image/mire,Dataset,1,"(1,)",int32
/AwakeEventData/TT43.BPM.430129/Acquisition/horAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/AIRTR02/Acq/numericPosition,Dataset,1,"(1,)",float32
/AwakeEventData/XUCL-SPECTRO/BinningSetting/hbin,Dataset,1,"(1,)",int32
/AwakeEventData/XUCL-SPECTRO/CameraSettings/targetTemperature,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Acquisition/secondLamp,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BTV.412426/Image/screenSelect_max,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/headerValue,Dataset,100,"(100,)",|S1
/AwakeEventData/SPS.BCTDC.41435/Acquisition/slowCycleTime,Dataset,1,"(1,)",int32
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH1/FileRead,Group,9,,
/AwakeEventData/TT41.BTV.412426/Acquisition/propType,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Acquisition/acqDesc,Dataset,1,"(1,)",|S7
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE43.CH02/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE43.CH08/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/triggerStamp,Dataset,1,"(1,)",int64
/AwakeEventData/awake.XAWAVS_UF_TT_AVG/PosSt/value,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412343/Acquisition/horAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412353/Acquisition,Group,67,,
/AwakeEventData/SR.SCOPE43.CH02/Acquisition/triggerStamp,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
/AwakeEventData/TT41.BTV.412426/Image/propType,Dataset,1,"(1,)",int32
/AwakeEventData/PMOTOR05/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Image/secondLamp,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BTV.412350/Image/videoGain,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE43.CH06/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Acquisition/positionSet1,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/positionSet2,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/amplitudeSet2,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/amplitudeSet1,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/cameraOffset,Dataset,1,"(1,)",int16
